0	0.360	1
15.500	0.260	1
17.220	0.520	1
19.180	0.280	1
24.960	0.290	1
31.170	0.380	1
33.610	0.470	1
35.760	0.440	1
39.270	0.360	1
41.280	0.270	1
43.280	0.450	1
46.850	0.610	1
48.760	0.380	1
50.500	0.410	1
52.990	0.420	1
57.090	0.340	1
58.850	0.470	1
60.700	0.540	1
64.580	0.470	1
66.540	0.590	1
68.580	0.460	1
70.490	0.340	1
74.190	0.330	1
75.960	0.480	1
77.670	0.430	1
81.150	0.600	1
82.960	0.580	1
85.130	0.790	1
88.830	0.490	1
90.670	0.450	1
92.690	0.710	1
94.450	0.370	1
96.620	0.510	1
98.920	0.420	1
100.810	0.360	1
105.010	0.310	1
106.860	0.360	1
108.920	0.480	1
110.670	0.340	1
112.500	0.370	1
116.070	0.280	1
118.140	0.410	1
119.850	0.300	1
121.580	0.360	1
125.190	0.340	1
127.500	0.390	1
129.550	0.430	1
131.390	0.400	1
133.250	0.350	1
135.150	0.630	1
137.000	0.420	1
140.510	0.260	1
142.530	0.350	1
144.320	0.460	1
146.090	0.310	1
148.120	0.380	1
150.140	0.290	1
151.910	0.270	1
153.840	0.290	1
155.870	0.250	1
159.380	0.360	1
161.480	0.330	1
163.590	0.300	1
165.330	0.430	1
167.110	0.400	1
171.100	0.440	1
172.840	0.530	1
175.170	0.290	1
177.510	0.460	1
181.100	0.340	1
182.830	0.320	1
186.300	0.470	1
188.010	0.760	1
190.030	0.730	1
192.080	0.570	1
195.840	0.360	1
199.600	0.310	1
201.670	0.440	1
203.460	0.430	1
205.300	0.420	1
207.020	0.420	1
213.340	0.340	1
215.210	0.530	1
217.320	0.390	1
219.100	0.260	1
221.000	0.360	1
222.720	0.550	1
224.610	0.710	1
226.390	0.440	1
229.950	0.440	1
232.010	0.290	1
235.680	0.370	1
237.460	0.370	1
239.200	0.330	1
242.630	0.300	1
245.100	0.360	1
247.130	0.420	1
249.140	0.370	1
252.980	0.390	1
254.680	0.560	1
256.430	0.520	1
259.880	0.470	1
261.720	0.510	1
265.450	0.800	1
267.090	0.510	1
270.100	0.540	1
272.380	0.470	1
274.260	0.410	1
276.000	0.380	1
278.160	0.450	1
279.940	0.320	1
281.660	0.440	1
289.330	0.320	1
291.170	0.410	1
296.720	0.300	1
298.580	0.500	1
300.380	0.340	1
302.160	0.740	1
305.750	0.570	1
307.530	0.380	1
309.340	0.260	1
311.340	0.300	1
313.250	0.230	1
317.440	0.280	1
321.310	0.460	1
324.970	0.800	1
328.570	0.510	1
330.380	0.630	1
332.330	0.790	1
334.670	0.330	1
336.850	0.320	1
348.370	0.290	1
